#;;;;;;;;;;;;;;x
conservative_uh;Os conservadores preferem o status quo, mas pode apoiar as reformas em condições de alta militância.;Les conservateurs préfèrent le statu quo, mais peuvent soutenir les réformes en cas d'extrême nécessité.;Konservative bevorzugen den Status Quo, können aber in extremen Situationen Reformen unterstützen.;;Los conservadores prefieren el statu quo, pero pueden apoyar reformas en condiciones de elevada militancia.;;;;;;;;;x
socialist_uh;Os socialistas exigem mais reformas sociais aprovadas, mas pode apoiar as reformas políticas em condições de alta militância.;Les socialistes veulent davantage de réformes sociales.;Sozialisten sind an zusätzlichen Sozialreformen interessiert.;;Los socialistas abogan por promulgar más reformas sociales, pero pueden apoyar reformas políticas en condiciones de elevada militancia.;;;;;;;;;x
communist_uh;Os comunistas querem aprovar reformas sociais, mas rejeita reformas políticas.;Les communistes veulent davantage de réformes sociales et le retrait des réformes politiques.;Kommunisten sind an zusätzlichen Sozialreformen interessiert, setzen sich aber für die Außerkraftsetzung von Politikreformen ein.;;Los comunistas quieren promulgar reformas sociales, pero rechazan las reformas políticas.;;;;;;;;;x
liberal_uh;Os liberais querem aprovar novas reformas políticas, mas também apoiará a reforma social em condições de alta militância.;Les libéraux veulent davantage de réformes politiques.;Liberale sind an zusätzlichen Politikreformen interessiert.;;Los liberales abogan por más reformas políticas, pero apoyarán también reformas sociales bajo condiciones de elevada militancia.;;;;;;;;;x
anarcho_liberal_uh;O anarco-liberalismo rejeita reformas sociais, e nunca apóia novas reformas não importa do que seja.;Les anarcho-libéraux veulent davantage de réformes politiques et le retrait des réformes sociales.;Anarcho-Liberale sind an zusätzlichen Politikreformen interessiert, setzen sich aber für die Außerkraftsetzung von Sozialreformen ein.;;Los anarcoliberales rechazan las reformas sociales, y nunca apoyarán más reformas de ningún tipo.;;;;;;;;;x
RP_ACCUMULATED;Temos §Y$VAL$§W pontos de pesquisa que não está sendo usado.;Nous disposons de §Y$VAL$§W points de recherche actuellement inutilisés.;Wir haben §Y$VAL$§W Forschungspunkte angesammelt, die derzeit nicht verwendet werden.;;En estos momentos tenemos §Y$VAL$§W puntos de investigación acumulados sin utilizar.;;;;;;;;;x
WEGAINCB_SETUP;Quando ganhamos um Casus Belli;Si nous obtenons un casus belli;Wenn wir einen Kriegsgrund erhalten;;Cuando se produce un 'casus belli';;;;;;;;;x
WEGAINCB_HEADER;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;$MONARCHTITLE$;;;;;;x
WEGAINCB_1;Casus Belli;Casus belli;Kriegsgrund;;Casus belli;;;;;;;;;x
WEGAINCB_2;Temos um;Nous avons obtenu un;Wir erhielten den;;Tenemos un;;;;;;;;;x
WEGAINCB_3;Casus Belli $CASUS$';"casus belli ""$CASUS$""";Kriegsgrund '$CASUS$';;Casus belli '$CASUS$';;;;;;;;;x
WEGAINCB_4;contra;contre;gegen;;contra;;;;;;;;;x
WEGAINCB_5;$ENEMY$;$ENEMY$;$ENEMY$;;$ENEMY$;;;;;;;;;x
WEGAINCB_6;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;$DESC$;x
WEGAINCB_LOG;Ganhamos um Casus Beli '$CASUS$' contra $ENEMY$.;"Nous avons obtenu un casus belli ""$CASUS$"" contre $ENEMY$.";Wir erhielten den Kriegsgrund '$CASUS$' gegen $ENEMY$.;;Tenemos un Casus belli '$CASUS$' contra $ENEMY$.;;;;;;;;;x
WEGAINCB_BTN1;Aceitar;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEGAINCB_BTN2;Aceitar;OK;OK;OK;OK;OK;Rendben;OK;;;;;;x
WEGAINCB_BTN3;Ir para;Aller à;Goto;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x
WEGAINCB_MAP;*;*;*;*;*;*;*;;;;;;;x
NORMAL_WAR_FREE_NAME;$ORDER$$FIRST$ guerra da liberdade $COUNTRY_ADJ$ Freedom;$ORDER$$FIRST$ guerre de la liberté $COUNTRY_ADJ$;$ORDER$$FIRST$-$COUNTRY_ADJ$er Freiheitskrieg;;$ORDER$ Guerra $FIRST$ de liberación $COUNTRY_ADJ$;;;;;;;;;x
AGRESSION_WAR_FREE_NAME;$ORDER$$FIRST$ guerra de apóio a $COUNTRY$;$ORDER$$FIRST$ guerre de soutien de $COUNTRY$;$ORDER$$FIRST$er Krieg zur Absicherung von $COUNTRY$;;$ORDER$ Guerra $FIRST$ de apoyo a $COUNTRY$;;;;;;;;;x
NORMAL_WAR_COLONIAL_NAME;$ORDER$$FIRST$ conquista colonial de $STATE$;$ORDER$$FIRST$ conquête coloniale de $STATE$;$ORDER$$FIRST$e Kolonialeroberung von $STATE$;;$ORDER$ Conquista colonial $FIRST$ de $STATE$;;;;;;;;;x
AGRESSION_WAR_COLONIAL_NAME;$ORDER$$FIRST$ guerra Colonial por $STATE$;$ORDER$$FIRST$ guerre coloniale pour $STATE$;$ORDER$$FIRST$er Kolonialkrieg um $STATE$;;$ORDER$ Guerra colonial $FIRST$ por $STATE$;;;;;;;;;x
NORMAL_WAR_TAKE_NAME;$ORDER$$FIRST$ conquista de $STATE$;$ORDER$$FIRST$ conquête de $STATE$;$ORDER$$FIRST$e Eroberung von $STATE$;;$ORDER$ Conquista $FIRST$ de $STATE$;;;;;;;;;x
AGRESSION_WAR_TAKE_NAME;$ORDER$$FIRST$ guerra de $STATE$;$ORDER$$FIRST$ guerre de $STATE$;$ORDER$$FIRST$er Krieg um $STATE$;;$ORDER$ Guerra $FIRST$ de $STATE$;;;;;;;;;x
NORMAL_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ liberação de $STATE$;$ORDER$$FIRST$ libération de $STATE$;$ORDER$$FIRST$e Befreiung von $STATE$;;$ORDER$ Liberación $FIRST$ de $STATE$;;;;;;;;;x
AGRESSION_WAR_TAKE_CORE_NAME;$ORDER$$FIRST$ agressão por $STATE$;$ORDER$$FIRST$ aggression pour $STATE$;$ORDER$$FIRST$e Aggression gegen $STATE$;;$ORDER$ Agresión $FIRST$ por $STATE$;;;;;;;;;x
NORMAL_WAR_TAKE_SPHERE_NAME;$ORDER$ guerra de $COUNTRY$;$ORDER$ guerre de $COUNTRY$;$ORDER$$COUNTRY$-Feldzug;;$ORDER$ Guerra de $COUNTRY$;;;;;;;;;x
AGRESSION_WAR_TAKE_SPHERE_NAME;$ORDER$ guerra $FIRST$-$SECOND$ sobre $COUNTRY$;$ORDER$ guerre $FIRST$-$SECOND$ pour $COUNTRY$;$ORDER$$FIRST$-$SECOND$er Krieg um $COUNTRY$;;$ORDER$ Guerra $FIRST$-$SECOND$ sobre $COUNTRY$;;;;;;;;;x
NORMAL_WAR_ADD_SPHERE_NAME;$ORDER$ guerra de submissão $SECOND$;$ORDER$ guerre de la soumission $SECOND$;$ORDER$Krieg zur $SECOND$en Unterwerfung;;$ORDER$ Guerra de sumisión $SECOND$;;;;;;;;;x
AGRESSION_WAR_ADD_SPHERE_NAME;$ORDER$ guerra de Subjugação $SECOND$;$ORDER$ guerre de la subjugation $SECOND$;$ORDER$Krieg zur $SECOND$en Unterjochung;;$ORDER$ Guerra de subyugación $SECOND$;;;;;;;;;x
NORMAL_CIVIL_WAR_NAME;$ORDER$$FIRST$ guerra civil;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x
AGRESSION_CIVIL_WAR_NAME;$ORDER$$FIRST$ guerra civil;$ORDER$ guerre civile $FIRST$;$ORDER$$FIRST$er Bürgerkrieg;;$ORDER$ Guerra Civil $FIRST$;;;;;;;;;x
NORMAL_WAR_CONQUEST_NAME;$ORDER$$FIRST$ guerra de conquista de $SECOND_COUNTRY$;$ORDER$ conquête de la guerre $SECOND$;$ORDER$Eroberung von $SECOND$em Land;;$ORDER$ Guerra de Conquista $SECOND$;;;;;;;;;x
AGRESSION_WAR_CONQUEST_NAME;$ORDER$ guerra de agressão $FIRST$ contra $SECOND_COUNTRY$;$ORDER$ guerre de l'aggression $FIRST$ sur $SECOND$;$ORDER$$FIRST$er Aggressionskrieg gegen $SECOND$e Gebiete;;$ORDER$ Guerra de Agresión $FIRST$ contra $SECOND_COUNTRY$;;;;;;;;;x
ADJ_FORT_EXTRA_ATTR;E §R+$VAL$%§W de fortes adjacentes hostis.;Et §R+$VAL$%§W des forts adjacents ennemis.;Und §R+$VAL$%§W von feindlichen Forts in der Nähe.;;Y §R+$VAL$%§W de fuertes hostiles adyacentes.;;;;;;;;;x
IS_NOT_ACCEPTED_CULTURE_POP;nao pertence a uma cultura aceitada.\n;n'appartient pas à une culture acceptée.\n;gehört nicht zu einer akzeptierten Kultur.\n;;no pertenece a una cultura aceptada.\n;;;;;;;;;x
IS_ACCEPTED_CULTURE_POP;pertence a uma cultura aceitada.\n;appartient à une culture acceptée.\n;gehört zu einer akzeptierten Kultur.\n;;pertenece a una cultura aceptada.\n;;;;;;;;;x
IS_NOT_PRIMARY_CULTURE_POP;Não é §Y$NAME$§W\n;N'est pas §Y$NAME$§W\n;Ist nicht §Y$NAME$§W\n;;No es §Y$NAME$§W\n;;;;;;;;;x
IS_PRIMARY_CULTURE_POP;É §Y$NAME$§W\n;Est §Y$NAME$§W\n;Ist §Y$NAME$§W\n;;Es §Y$NAME$§W\n;;;;;;;;;x
NEW_CORE_EFFECT_TAG2;$TAG$ irá ganhar §Y$NEW$§W como núcleo.\n;$TAG$ obtiendra §Y$NEW$§W comme territoire clé.\n;$TAG$ erhält §Y$NEW$§W als Kernprovinz.\n;;$TAG$ obtendrá §Y$NEW$§W como núcleo.\n;;;;;;;;;x
digin;Entrincheirar;Retranchement;Eingraben;;Atrincherar;;;;;;;;;x
terrain;Terreno;Terrain;Gelände;;Terreno;;;;;;;;;x
crossing;Cruzamento;Passage;Brücke;;Paso;;;;;;;;;x
total_occupation;Províncias nacionais ocupadas;Provinces nationales occupées;Besetzte Heimatprovinzen;;Provincias nacionales ocupadas;;;;;;;;;x
total_blockaded;Portos nacionais bloqueados;Ports nationaux sous blocus;Blockierte Heimathäfen;;Puertos nacionales bloqueados;;;;;;;;;x
PW_SLAVE_STATE;Estado escravista;État esclavagiste;Sklavenstaat;;Estado esclavista;;;;;;;;;x
CURR_REL_TT;Nossa relação atual.;Nos relations actuelles.;Unsere aktuellen Beziehungen.;;Nuestras relaciones actuales.;;;;;;;;;x
great_power;Grande potência;Grande puissance;Großmacht;;Gran potencia;;;;;;;;;x
second_power;Potência secundaria;Puissance de second rang;Sekundärmacht;;Potencia menor;;;;;;;;;x
civ_nation;Nação civilizada;Nation civilisée;Zivilisierte Nation;;Nación civilizada;;;;;;;;;x
unciv_nation;Nação não civilizada;Nation non civilisée;Unzivilisierte Nation;;Nación sin civilizar;;;;;;;;;x
REB_TYPE_SIZE;§YSuporte rebelde§W;§YSoutien rebelle§W;§YRebellenunterstützung§W;;§YApoyo rebelde§W;;;;;;;;;x
REB_TYPE_POWER;§YPotência rebelde§W;§YPuissance rebelle§W;§YRebellenmacht§W;;§YPotencia rebelde§W;;;;;;;;;x
PRODUCTION_MUST_PORT_ONLY;Só pode produzir em portos.\n;Production dans les ports uniquement.\n;Wird nur in Häfen produziert.\n;;Solo se puede producir en puertos.\n;;;;;;;;;x
POPULATION_CHANGED_BY;População mudada: ;Évolution démographique :;Bevölkerung geändert um;;La población ha cambiado en;;;;;;;;;x
COMBAT_LEADER_MOD;Líder;Leader;Anführer;;Líder;;;;;;;;;x
POLITICS_CANNOT_SET_RULING_PARTY_IN_ELECTION;Não é possível alternar o partido governante durante uma eleição.;Il est impossible de changer de parti dirigeant en cours d'élection.;Während einer Wahl ist es unmöglich, die Regierungspartei zu wechseln.;;No se puede cambiar el partido gobernante durante unas elecciones.;;;;;;;;;x
IS_NOT_OVERSEAS;NÃO está no exterior;N'est PAS outremer;ist KEINE Übersee-Provinz.;;NO está en el extranjero;;;;;;;;;x
IS_OVERSEAS;Está no exterior;Est outremer;ist Übersee-Provinz.;;está en el extranjero;;;;;;;;;x
SHIP_SUB_NAME;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$ $TYPE$;$NUM$$ORDER$ $HOME$s $TYPE$;;$NUM$$ORDER$ $HOME$ $TYPE$;;;;;;;;;x
FOLLOWING_HAVE_CLAIMS;Os seguintes países têm reivindicações aqui:;Les pays suivants revendiquent cet endroit.;Die folgenden Länder haben hier Ansprüche:;;Aquí tienen pretensiones los siguientes países:;;;;;;;;;x
COUNTRY_IS_NOT_CULTURE;A cultura primaria não é;La culture principale n'est PAS;Primärkultur ist NICHT;;La cultura principal NO es;;;;;;;;;x
COUNTRY_IS_CULTURE;A cultura primaria é;La culture principale est;Primärkultur ist;;La cultura principal es;;;;;;;;;x
NO_ASSIM_NOW;Sem assimilação atual;Pas d'assimilation pour le moment;Momentan keine Assimilierung;;Sin asimilar;;;;;;;;;x
MODIFIER_LOCAL_REPAIR;Velocidade de reparação do navio;Vitesse de réparation des navires;Schiffsreparaturgeschwindigkeit;;Velocidad de reparación de nave;;;;;;;;;x
BADBOY_DRO_1;Mudança de infâmia mensal:\n;Déshonneur - Évolution mensuelle :\n;Monatliche Infamie-Veränderung:\n;;Cambio de infamia mensual:\n;;;;;;;;;x
REGIMENT_SIZE;Tamanho atual: §Y$SIZE$§W\n;Taille actuelle : §Y$SIZE$§W\n;Aktuelle Größe: §Y$SIZE$§W\n;;Tamaño actual: §Y$SIZE$§W\n;;;;;;;;;x
CURRENT_MORALE;Organização: §Y$SIZE$§W de $MAX$.\n;Organisation : §Y$SIZE$§W sur $MAX$.\n;Organisation: §Y$SIZE$§W von $MAX$.\n;;Organización: §Y$SIZE$§W of $MAX$.\n;;;;;;;;;x
SUPPLY_COST;Custo de suprimento;Frais d'approvisionnement;Versorgungskosten;;Costes de abastecimiento;;;;;;;;;x
ALL_CORE_PROVINCE_THAT;Para todas as províncias Núcleo ;Pour toutes les provinces clés ;Für alle Kernprovinzen;;Para todas las provincias núcleo ;;;;;;;;;x
BREAKCOUNTRY_SETUP;Se uma facção rebelde impor suas demandas em nossa nação;Si une faction rebelle met ses exigences à exécution dans notre nation;Wenn eine Rebellenfraktion ihre Forderungen in unserer Nation erzwingt.;;Cuando una facción rebelde impone sus demandas en nuestra nación;;;;;;;;;x
BREAKCOUNTRY_HEADER;Relatório de $CAPITAL$;Rapport en provenance de $CAPITAL$;Bericht aus $CAPITAL$:;;Informe desde $CAPITAL$;;;;;;;;;x
BREAKCOUNTRY_1;Vitória de $FACTION$!;$FACTION$ l'emporte !;$FACTION$ haben gesiegt!;;¡Victoria de los $FACTION$!;;;;;;;;;x
BREAKCOUNTRY_2;$MONARCHTITLE$, os $FACTION$ impuseram suas demandas!;$MONARCHTITLE$, $FACTION$ a mis ses exigences à exécution !;$FACTION$ haben gesiegt!;;¡$MONARCHTITLE$, los $FACTION$ han impuesto sus demandas!;;;;;;;;;x
BREAKCOUNTRY_3;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRY_4;$EFFECTS$;$EFFECTS$;$EFFECTS$;;$EFFECTS$;;;;;;;;;x
BREAKCOUNTRY_5;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRY_6;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRY_LOG;$FACTION$ impuseram suas demandas!;$FACTION$ met ses exigences à exécution !;$FACTION$ haben gesiegt!;;¡Los $FACTION$ imponen sus demandas!;;;;;;;;;x
BREAKCOUNTRY_BTN1;Que horror!;Horreur !;Oh Graus!;To straszne!;¡Qué horror!;Orrore!;Rettegés!;Hrùza!;;;;;;x
BREAKCOUNTRY_BTN2;Que horror!;Horreur !;Oh Graus!;To straszne!;¡Qué horror!;Orrore!;Rettegés!;Hrùza!;;;;;;x
BREAKCOUNTRY_BTN3;Ir para;Aller à;Goto;IdŸ do;Ir allí;Andare;Menj ide;Pøejít na;;;;;;x
BREAKCOUNTRY_MAP;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRYOTHER_SETUP;Se uma facção rebelde impor suas demandas em outra nação;Si une faction rebelle met ses exigences à exécution dans une autre nation;Wenn eine Rebellenfraktion ihre Forderungen in einer anderen Nation erzwingt.;;Cuando una facción rebelde impone sus demandas en otra nación;;;;;;;;;x
BREAKCOUNTRYOTHER_HEADER;Embaixador de;Ambassadeur de;Botschafter aus;;Embajador de;;;;;;;;;x
BREAKCOUNTRYOTHER_1;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;$OTHER$;;;;;;x
BREAKCOUNTRYOTHER_2;$FACTION$ impuseram suas demandas em;$FACTION$ a mis ses exigences à exécution en;$FACTION$ haben den Sieg errungen!;;Los $FACTION$ han impuesto sus demandas en;;;;;;;;;x
BREAKCOUNTRYOTHER_3;$OTHER$;$OTHER$;$OTHER$ ist kollabiert.;;$OTHER$;;;;;;;;;x
BREAKCOUNTRYOTHER_4;$EFFECTS$;$EFFECTS$;$EFFECTS$;;$EFFECTS$;;;;;;;;;x
BREAKCOUNTRYOTHER_5;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRYOTHER_6;*;*;*;*;*;*;*;;;;;;;x
BREAKCOUNTRYOTHER_LOG;$FACTION$ impuseram suas demandas em $OTHER$!;$FACTION$ met ses exigences à exécution en $OTHER$ !;$FACTION$ siegten in $OTHER$!!;;¡Los $FACTION$ imponen sus demandas en $OTHER$!;;;;;;;;;x
BREAKCOUNTRYOTHER_BTN1;Aceitar;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
BREAKCOUNTRYOTHER_BTN2;Aceitar;OK;OK;OK;Aceptar;OK;Rendben;OK;;;;;;x
BREAKCOUNTRYOTHER_BTN3;Ir para;Aller à;Goto;IdŸ do;Ir allí;Andare;Ugrás;Pøejít na;;;;;;x
BREAKCOUNTRYOTHER_MAP;*;*;*;*;*;*;*;;;;;;;x
INVENTION_SETUP;Quando você ganhou uma invenção.;Si vous obtenez une invention;Wenn Sie eine Erfindung erhalten haben.;;Cuando consigas hacer un invento;Quando acquisisci un'invenzione;;;;;;x;
INVENTION_HEADER;Relatórios sobre;Rapports sur;Bericht über eine;;Informe sobre;;;;;;;;;x
INVENTION_1;Grande descoberta;Découverte majeure;Große Entdeckung;;Descubrimiento importante;Grande scoperta;;;;;;x;
INVENTION_2;Cientistas em nosso país descobriu;Les scientifiques de notre pays ont découvert;Wissenschaftlicher unseres Landes entdeckten;;Los científicos de nuestro país han descubierto;;;;;;;;;x
INVENTION_3;$INVENTION$;$INVENTION$;$INVENTION$;;$INVENTION$;$INVENTION$;;;;;;x;
INVENTION_4;$DESC$;$DESC$;$DESC$;;$DESC$;$DESC$;;;;;;x;
INVENTION_5;EFEITO:;EFFET :;Das hat folgende Effekte:;;EFECTO:;EFFETTO:;;;;;;x;
INVENTION_6;$EFFECT$;$EFFECT$;$EFFECT$;;$EFFECT$;$EFFECT$;;;;;;x;
INVENTION_LOG;Descobrimos como funciona o invento seguinte: $INVENTION$.;Nous avons découvert comment fonctionne $INVENTION$.;Wir haben herausgefunden, was $INVENTION$ ermöglicht.;;Hemos descubierto cómo funciona el invento siguiente: $INVENTION$.;Abbiamo scoperto il funzionamento di: $INVENTION$.;;;;;;x;
INVENTION_BTN1;Aceitar;OK;OK;;Aceptar;OK;;;;;;x;
INVENTION_BTN2;Aceitar;OK;OK;;Aceptar;OK;;;;;;x;
INVENTION_BTN3;Detalhes;Détails;Details;;Detalles;Dettagli;;;;;;x;
INVENTION_MAP;*;*;*;;*;*;;;;;;x;
revanchism;Revanchismo;Revanchisme;Revanchismus;;Revanchismo;;;;;;;;;x
plurality;Pluralidade;Pluralité;Pluralität;;Pluralidad;;;;;;;;;x
TOPBAR_LEADERSHIP_GAIN_TOOLTIP;Ganhamos §Y$CURR$§W de liderança dos nossos oficiais por mês.;Nos officiers nous permettent de gagner §Y$CURR$§W de commandement par mois.;Wir erhalten von unseren Offizieren monatlich §Y$CURR$§W Anführerschaft.;;Obtenemos §Y$CURR$§W de liderazgo de nuestros oficiales cada mes.;;;;;;;;;x
UW_AASIGN;Atribuição automática de líderes;Attribution automatique des officiers;Anführer autom. zuteilen;;Asignación automática de líderes;;;;;;;;;x
ATTR_SAFE_RANGE;Uma frota no alcance de abastecimento de navios perto de uma costa não vai sofrer qualquer desgaste.;Une flotte à portée de navires ravitailleurs et à proximité d'une côte ne subit aucune usure.;Eine Flotte innerhalb der Reichweite von Versorgungsschiffen und nahe einer Küste erleidet keine Verluste.;;Una flota dentro del alcance de los barcos de suministro y cerca de una costa no sufrirá desgaste alguno.;;;;;;;;;x
TECHNOLOGYVIEW_HAVE_NOT_YEAR;Não é possível iniciar essa pesquisa antes de §Y$YEAR$§W.;Il est impossible d'entamer ces travaux de recherche avant §Y$YEAR$§W.;Die Erforschung hiervon ist nicht vor dem Jahr §Y$YEAR$§W möglich.;;Esto no se puede empezar a investigar antes de §Y$YEAR$§W.;;;;;;;;;x
ENCOURAGEMENT_FOR;Incentivo para ;Encouragement pour ;Ermutigung zu ;;Fomento de ;;;;;;;;;x
IS_NOT_PRIMARY_CULTURE;§Y$NAME$§W NÃO é uma cultura primária.\n;§Y$NAME$§W n'est PAS une culture principale.\n;§Y$NAME$§W ist NICHT Primärkultur.\n;;La §Y$NAME$§W NO es una cultura principal.\n;;;;;;;;;x
IS_PRIMARY_CULTURE;§Y$NAME$§W é uma cultura primária.\n;§Y$NAME$§W est une culture principale.\n;§Y$NAME$§W ist Primärkultur.\n;;La §Y$NAME$§W es una cultura principal.\n;;;;;;;;;x
IS_NOT_ACCEPTED_CULTURE2;§Y$NAME$§W NÃO é uma cultura aceitada.\n;§Y$NAME$§W n'est PAS une culture acceptée.\n;§Y$NAME$§W ist KEINE akzeptierte Kultur.\n;;La §Y$NAME$§W NO es una cultura aceptada.\n;;;;;;;;;x
IS_ACCEPTED_CULTURE2;§Y$NAME$§W é uma cultura aceitada.\n;§Y$NAME$§W est une culture acceptée.\n;§Y$NAME$§W ist eine akzeptierte Kultur.\n;;La §Y$NAME$§W es una cultura aceptada.\n;;;;;;;;;x
ALL_COUNTRIES_EFF;Todos os países;Tous les pays;Alle Länder;;Todos los países;;;;;;;;;x
ALL_COUNTRIES_THAT_EFF;Todos países que;Tous les pays qui;Alle Länder, die;;Todos los países que;;;;;;;;;x
GETTING_ONLY_NEEDS;Recebendo apenas $NEED$: §Y$VAL$%§W;Obtention d'à peine $NEED$: §Y$VAL$%§W;Decken lediglich $NEED$: §Y$VAL$%§W;;Solo consigue $NEED$: §Y$VAL$%§W;;;;;;;;;x
tutorial_chapter_introduction;Fim da introdução.;Fin de l'introduction.;Ende der Einleitung.;;Fin de la introducción;;;;;;;;;x
tutorial_end_of_chapter;Fim do capitulo de tutorial;Fin du chapitre du didacticiel;Ende des Tutorialkapitels;;Fin del capítulo tutorial;;;;;;;;;x
ISSUE_MOVE_EFFECT;§Y$PERCENTAGE$%§W da POP muda de §YFROM§W para §YTO§W;§Y$PERCENTAGE$%§W des POP émigrent de §YFROM§W vers §YTO§W;§Y$PERCENTAGE$%§W der Bevs ziehen von §YFROM§W nach §YTO§W um.;;Un §Y$PERCENTAGE$%§W de las POB se desplaza de §YFROM§W a §YTO§W;;;;;;;;;x
ADD_WARGOAL_EFFECT;Se adicionarmos este objetivo militar, ganharemos:;Si nous ajoutons cet objectif de guerre, nous obtiendrons :;Wenn wir dieses Kriegsziel hinzufügen, erhalten wir:;;Al añadir este objetivo bélico, obtendremos:;;;;;;;;;x
ADD_WARGOAL_SUCCESS;Se conseguirmos este objetivo militar, ganharemos:;Si nous atteignons cet objectif de guerre, nous obtiendrons :;Wenn wir dieses Kriegsziel erreichen, erhalten wir:;;Si logramos este objetivo bélico, obtendremos:;;;;;;;;;x
ADD_WARGOAL_FAILURE;Se fracassamos este objetivo militar, ganharemos:;Si nous manquons cet objectif de guerre, nous obtiendrons :;Wenn wir dieses Kriegsziel nicht erreichen, erhalten wir:;;Si fracasamos en este objetivo bélico:;;;;;;;;;x
WARDIALOG_TRUCE;Trégua: ;Trêve : ;Waffenruhe:;;Tregua: ;;;;;;;;;x
WARDIALOG_NOCB;Sem casus belli: ;Pas de casus belli : ;Kein Kriegsgrund:;;Sin ‘casus belli’: ;;;;;;;;;x
DIPLOMACY_INFAMY2;Infâmia: $VALUE$;Déshonneur : $VALUE$;Infamie: $VALUE$;;Infamia: $VALUE$;;;;;;;;;x
DIPLOMACY_PRESTIGE2;Prestigio: $VALUE$;Prestige : $VALUE$;Prestige: $VALUE$;;Prestigio: $VALUE$;;;;;;;;;x
DIPLOMACY_MILITANCY2;Militância: $VALUE$;Militantisme : $VALUE$;Militanz: $VALUE$;;Militancia: $VALUE$;;;;;;;;;x
REMOVE_DIPLOMACY_WARDIALOG_ALLIES;§Y$COUNTRY$§W tem os seguintes aliados:;§Y$COUNTRY$§W a les alliés suivants :;§Y$COUNTRY$§W hat folgende Verbündete:;;§Y$COUNTRY$§W cuenta con los siguientes aliados:;;;;;;;;;x
